name;country_un_registery;users;purposes;orbit_class;perigee_km;apogee_km;inclination_deg;period_minutes;launch_mass_kg;launch_date;expected_lifetime_yrs;launch_site;launch_vehicle;operator;operatory_country
Express-103;;Commercial;Communications;GEO;35781;35785;0.1;1436.1;2150;30.07.2020;15;Baikonur Cosmodrome;Proton M;Russian Satellite Communications Company;Russia
Express-80;;Commercial;Communications;GEO;35781;35785;0.1;1436.1;2150;30.07.2020;15;Baikonur Cosmodrome;Proton M;Russian Satellite Communications Company;Russia
Express-AM3;Russia;Commercial;Communications;GEO;35777;35795;0.09;1436.1;2600;24.06.2005;12;Baikonur Cosmodrome;Proton K;Russian Satellite Communications Company;Russia
Express-AM33;Russia;Commercial;Communications;GEO;35782;35791;0.05;1436.1;2600;28.01.2008;12;Baikonur Cosmodrome;Proton M;Russian Satellite Communications Company;Russia
Express-AM44;Russia;Commercial;Communications;GEO;35987;35995;0.11;1446.57;2532;11.02.2009;12;Baikonur Cosmodrome;Proton M;Russian Satellite Communications Company;Russia
Express-AM5;Russia;Commercial;Communications;GEO;35420;35940;0.08;1430.6;3400;26.12.2013;15;Baikonur Cosmodrome;Proton M;Russian Satellite Communications Company;Russia
Express-AM6;Russia;Commercial;Communications;GEO;34094;37636;0.53;1440.09;3358;21.10.2014;15;Baikonur Cosmodrome;Proton M;Russian Satellite Communications Company;Russia
Express-AM7;Russia;Commercial;Communications;GEO;35777;35796;0.01;1436.1;5720;18.03.2015;15;Baikonur Cosmodrome;Proton M;Russian Satellite Communications Company;Russia
Express-AM8;Russia;Commercial;Communications;GEO;35784;35788;0.03;1436.09;2100;14.09.2015;15;Baikonur Cosmodrome;Proton DM;Russian Satellite Communications Company;Russia
Express-AMU1;Russia;Commercial;Communications;GEO;35792;35795;0.1;1436.1;2700;24.12.2015;15;Baikonur Cosmodrome;Proton M;Russian Satellite Communications Company;Russia
Express-AMU3;;Commercial;Communications;GEO;16324;52810;1.67;;2150;13.12.2021;15;Baikonur Cosmodrome;Proton M;Russian Satellite Communications Company;Russia
Express-AMU7;;Commercial;Communications;GEO;16334;52810;1.65;;1980;13.12.2021;15;Baikonur Cosmodrome;Proton M;Russian Satellite Communications Company;Russia
Express-AT1;Russia;Commercial;Communications;GEO;35781;35804;0.06;1436.4;1726;15.03.2014;15;Baikonur Cosmodrome;Proton M;Russian Satellite Communications Company;Russia
Express-AT2;Russia;Commercial;Communications;GEO;35609;35715;0.1;1429.75;1427;15.03.2014;15;Baikonur Cosmodrome;Proton M;Russian Satellite Communications Company;Russia
ExSeedSat-1;;Commercial;Communications;LEO;572;588;97.7;96.3;4;03.12.2018;2;Vandenberg AFB;Falcon 9;Exseed Space;India
Eyesat;France;Government;Space Science;LEO;507;524;97.4;94.9;5;18.12.2019;;Guiana Space Center;Soyuz;CNES (Centre national d'études spatiales);Multinational
FACSAT-1;Colombia;Military;Earth Observation;LEO;476;500;97.5;95;5;29.11.2018;;Satish Dhawan Space Centre;PSLV;Colombian Air Force;Colombia
FalconEye-2;United Arab Emirates;Military;Earth Observation;LEO;597;599;97.9;96.7;1180;02.12.2020;5;Guiana Space Center;Soyuz ST-A;Defense Ministry;United Arab Emirates
Falconsat-3;USA;Military/Civil;Technology Development;LEO;538;540;35.4;95.4;46;09.03.2007;;Cape Canaveral;Atlas 5;US Air Force Academy;USA
Falconsat-6;;Military/Civil;Technology Development;LEO;572;591;97.7;96.3;181;03.12.2018;;Vandenberg AFB;Falcon 9;US Air Force Academy;USA
Falconsat-7;USA;Military/Civil;Technology Development;ELL;305;850;28.5;96.2;5;25.06.2019;;Cape Canaveral;Falcon Heavy;US Air Force Academy;USA
USA 300;USA;Military/Civil;Technology Development;LEO;389;389;45;92.3;136;17.05.2020;;Cape Canaveral;Atlas 5;US Air Force Academy;USA
Faraday Phoenix;United Kingdom;Commercial;Platform;LEO;513;532;97.5;95.2;10;30.06.2021;;Cape Canaveral;Falcon 9;InSpace;United Kingdom
USA 222;USA;Military/Civil;Technology Development;LEO;627;654;71.97;97.54;55;20.11.2010;;Kodiak Launch Complex;Minotaur 4;University of Texas - Austin;USA
Fengmaniu-1;China;Commercial;Technology Development;LEO;440;508;97.2;94;3;02.02.2018;;Jiuquan Satellite Launch Center;Long March 2D;Link Space Aerospace Technology;China
Fengniao 1A;;Government;Technology Development;LEO;488;500;97.35;94.49;160;20.11.2012;;Taiyuan Launch Center;Long March 2C;China Academy of Space Technology (CAST);China
Fengyun 2F;China;Government;Earth Observation;GEO;35760;35816;2.19;1436.19;1390;12.01.2012;3;Xichang Satellite Launch Center;Long March 3A;China Meteorological Administration;China
Fengyun 2G;;Government;Earth Observation;GEO;35770;35800;2.27;1436.02;1390;31.12.2014;;Xichang Satellite Launch Center;Long March 3A;China Meteorological Administration;China
Fengyun 4H;China;Government;Earth Observation;GEO;35770;35804;2.08;1436.1;1380;05.06.2018;5;Xichang Satellite Launch Center;Long March 3A;China Meteorological Administration;China
Fengyun 3B;China;Government;Earth Observation;LEO;827;828;98.8;101.5;2300;04.11.2010;;Taiyuan Launch Center;Long March 4C;China Meteorological Administration;China
Fengyun 3C;China;Government;Earth Observation;LEO;827;828;98.81;101.45;2300;23.09.2013;;Taiyuan Launch Center;Long March 4C;China Meteorological Administration;China
Fengyun 3D;China;Government;Earth Observation;LEO;803;812;98.6;101.1;2300;14.11.2017;8;Taiyuan Launch Center;Long March 4C;China Meteorological Administration;China
Fengyun 3E;;Government;Earth Observation;LEO;781;820;98.7;101.1;2450;04.07.2021;;Jiuquan Satellite Launch Center;Long March 4C;China Meteorological Administration;China
Fengyun 4A;China;Government;Earth Observation;GEO;35768;35800;0.02;1436;5300;10.12.2016;;Xichang Satellite Launch Center;Long March 3B;China Meteorological Administration;China
Fengyun 4B;China;Government;Earth Observation;GEO;35780;35782;0.08;1436;5300;06.06.2021;;Xichang Satellite Launch Center;Long March 3B;China Meteorological Administration;China
Fermi Gamma-Ray Space Telescope;USA;Government;Space Science;LEO;537;556;25.6;95.6;4303;11.06.2008;;Cape Canaveral;Delta 2;National Aeronautics and Space Administration (NASA)/GSFC;USA
USA 215;USA;Military;Earth Observation;LEO;1101;1107;122.99;107.35;;21.09.2010;;Vandenberg AFB;Atlas 5;National Reconnaissance Office (NRO);USA
USA 234;USA;Military;Earth Observation;LEO;1068;1107;123;107;;03.04.2012;;Vandenberg AFB;Delta 4;National Reconnaissance Office (NRO);USA
USA 247;;Military;Earth Observation;LEO;1066;1081;123;106.7;;06.12.2013;;Vandenberg AFB;Atlas 5;National Reconnaissance Office (NRO);USA
USA 267;USA;Military;Earth Observation;LEO;1086;1087;123;106.7;;10.02.2016;;Vandenberg AFB;Delta 4;National Reconnaissance Office (NRO);USA
USA 281;USA;Military;Earth Observation;LEO;1047;1057;106;106.2;;12.01.2018;;Vandenberg AFB;Delta 4;National Reconnaissance Office (NRO);USA
Firebird-C;USA;Government/Civil;Space Science;LEO;437;667;99.1;95.7;2;31.01.2015;0.25;Vandenberg AFB;Delta 2;Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory);USA
Firebird-D;USA;Government/Civil;Space Science;LEO;444;675;99.1;97.7;2;31.01.2015;0.25;Vandenberg AFB;Delta 2;Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory);USA
FLP;Germany;Civil;Earth Observation/Space Science;LEO;586;606;97.6;96.6;120;14.07.2017;2;Baikonur Cosmodrome;Soyuz-2.1a;University of Stuttgart;Germany
USA 46;USA;Military;Communications;GEO;35745;35829;8.97;1436.13;2310;25.09.1989;5;Cape Canaveral;Atlas Centaur;US Navy;USA
FormoSat-5;;Government;Earth Observation;LEO;710;729;98.3;99.1;525;25.08.2017;5;Vandenberg AFB;Falcon 9;National Space Organization;Taiwan
FORTÉ ;USA;Government;Earth Observation;LEO;790;823;70;101;215;29.08.1997;3;Vandenberg AFB;Pegasus XL;Los Alamos National Laboratory;USA
Foshan 1;;Government;Technology Development;LEO;494;511;97.4;94.7;70;27.04.2021;;Taiyuan Launch Center;Long March 6;Jihua Laboratory;China
FossaSat-2E2;;Commercial;Communications;LEO;522;535;97.5;94.7;1;13.01.2022;;Cape Canaveral;Falcon 9;Fossa Systems;Switzerland
FossaSat-2E1;;Commercial;Communications;LEO;517;522;97.5;94.7;1;13.01.2022;;Cape Canaveral;Falcon 9;Fossa Systems;Switzerland
FossaSat-2E3;;Commercial;Communications;LEO;521;535;97.5;94.7;1;13.01.2022;;Cape Canaveral;Falcon 9;Fossa Systems;Spain
FossaSat-2E4;;Commercial;Communications;LEO;518;535;97.5;94.7;1;13.01.2022;;Cape Canaveral;Falcon 9;Fossa Systems;Spain
FossaSat-2E5;;Commercial;Communications;LEO;517;535;97.5;94.7;1;13.01.2022;;Cape Canaveral;Falcon 9;Fossa Systems;Spain
FossaSat-2E6;;Commercial;Communications;LEO;519;535;97.5;94.7;1;13.01.2022;;Cape Canaveral;Falcon 9;Fossa Systems;Spain
Fox-1Cliff;;Civil;Communications;LEO;574;591;97.7;96.3;2;03.12.2018;;Vandenberg AFB;Falcon 9;AMSAT-NA;USA
FSSCAT-A;Spain;Government;Earth Observation;LEO;534;538;97.5;94.4;10;02.09.2020;;Guiana Space Center;Vega;Copernicus Land and Marine Environment services;Multinational
FSSCAT-B;Spain;Government;Earth Observation;LEO;534;537;97.5;94.4;10;02.09.2020;;Guiana Space Center;Vega;Copernicus Land and Marine Environment services;Multinational
FUNCube-1 (AO-73);;Civil;Communications;LEO;594;683;97.8;97.4;1;21.11.2013;;Dombarovsky Air Base;Dnepr;AMSAT-UK;Netherlands
Galaxy-11;USA;Commercial;Communications;GEO;35785;35795;0.05;1436.11;4488;21.01.1999;14;Guiana Space Center;Ariane 4;PanAmSat (Intelsat S.A.);USA
Galaxy-12;USA;Commercial;Communications;GEO;35775;35796;0.05;1436.07;1760;09.04.2003;15;Guiana Space Center;Ariane 5;PanAmSat (Intelsat S.A.);USA
Galaxy-13;USA;Commercial;Communications;GEO;35781;35790;0.01;1436.07;4060;01.10.2003;15;Sea Launch Odyssey;Zenit 3;PanAmSat (Intelsat S.A.)/Sky Perfect JSAT Corp.;Multinational
Galaxy-14;USA;Commercial;Communications;GEO;35776;35795;0.01;1436.07;2086;13.08.2005;15;Baikonur Cosmodrome;Soyuz-Fregat;PanAmSat (Intelsat S.A.);USA
Galaxy-15;USA;Commercial;Communications;GEO;35776;35795;0.06;1436.07;2033;13.10.2005;15;Guiana Space Center;Ariane 5;PanAmSat (Intelsat S.A.);USA
Galaxy-16;USA;Commercial;Communications;GEO;35775;35798;0.01;1436.1;4640;18.06.2006;15;Sea Launch Odyssey;Zenit 3SL;PanAmSat (Intelsat S.A.);USA
Galaxy-17;USA;Commercial;Communications;GEO;35774;35799;0.02;1436.1;4100;04.05.2007;15;Guiana Space Center;Ariane 5 ECA;Intelsat S.A.;USA
Galaxy-18;USA;Commercial;Communications;GEO;35774;35798;0.02;1436.1;4642;21.05.2008;15;Sea Launch Odyssey;Zenit 3SL;Intelsat S.A.;USA
Galaxy-19;USA;Commercial;Communications;GEO;35776;35796;0.05;1436.1;4690;24.09.2008;15;Sea Launch Odyssey;Zenit 3SL;Intelsat S.A.;USA
Galaxy-25;USA;Commercial;Communications;GEO;35771;35801;0.03;1436.08;3515;24.05.1997;13;Baikonur Cosmodrome;Proton K;Intelsat S.A. ;USA
Galaxy-28;USA;Commercial;Communications;GEO;35775;35798;0.01;1436.1;5493;23.06.2005;13;Sea Launch Odyssey;Zenit 3SL;Intelsat S.A.;USA
Galaxy-30;USA;Commercial;Communications;GEO;35523;35528;0.01;1436.1;3298;15.08.2020;15;Guiana Space Center;Ariane 5;Intelsat S.A.;USA
Galaxy-33;;Commercial;Communications;GEO;35777;35795;0.01;1436.1;3650;08.10.2022;15;Cape Canaveral;Falcon 9;Intelsat S.A.;USA
Galaxy-34;;Commercial;Communications;GEO;35732;35748;0.02;1436.1;3695;08.10.2022;15;Cape Canaveral;Falcon 9;Intelsat S.A.;USA
Galaxy-3C;USA;Commercial;Communications;GEO;35784;35788;0.01;1436.11;4860;15.06.2002;15;Sea Launch Odyssey;Zenit 3SL;PanAmSat (Intelsat S.A.)/DirecTV, Inc.;USA
Galileo FOC FM1;;Commercial;Navigation/Global Positioning;ELL;17231;25971;49.78;776.25;733;22.08.2014;12;Guiana Space Center;Soyuz-ST;European Space Agency (ESA);Multinational
Galileo FOC FM10;;Commercial;Navigation/Global Positioning;MEO;23272;23280;57.4;847.01;723;24.05.2016;12;Guiana Space Center;Soyuz-ST;European Space Agency (ESA);Multinational
Galileo FOC FM11;;Commercial;Navigation/Global Positioning;MEO;23483;23530;57.4;856.9;723;24.05.2016;12;Guiana Space Center;Soyuz-ST;European Space Agency (ESA);Multinational
Galileo FOC FM12;;Commercial;Navigation/Global Positioning;MEO;23039;23055;54.6;846;723;17.11.2016;12;Guiana Space Center;Ariane 5;European Space Agency (ESA);Multinational
Galileo FOC FM13;;Commercial;Navigation/Global Positioning;MEO;22982;22982;54.6;834;723;17.11.2016;12;Guiana Space Center;Ariane 5;European Space Agency (ESA);Multinational
Galileo FOC FM14;;Commercial;Navigation/Global Positioning;MEO;23272;23296;54.6;847;723;17.11.2016;12;Guiana Space Center;Ariane 5;European Space Agency (ESA);Multinational
Galileo FOC FM15;;Commercial;Navigation/Global Positioning;MEO;23164;23184;56.9;842.6;715;13.12.2017;12;Guiana Space Center;Ariane 5;European Space Agency (ESA);Multinational
Galileo FOC FM16;;Commercial;Navigation/Global Positioning;MEO;22904;22927;57.01;831.6;715;13.12.2017;12;Guiana Space Center;Ariane 5;European Space Agency (ESA);Multinational
Galileo FOC FM17;;Commercial;Navigation/Global Positioning;MEO;22905;22918;56.9;831.4;715;13.12.2017;12;Guiana Space Center;Ariane 5;European Space Agency (ESA);Multinational
Galileo FOC FM18;;Commercial;Navigation/Global Positioning;MEO;22903;23149;57.1;830.9;715;13.12.2017;12;Guiana Space Center;Ariane 5;European Space Agency (ESA);Multinational
Galileo FOC FM19;;Commercial;Navigation/Global Positioning;MEO;23233;23250;56.3;840.2;715;25.07.2018;12;Guiana Space Center;Ariane 5 ES;European Space Agency (ESA);Multinational
Galileo FOC FM2;;Commercial;Navigation/Global Positioning;ELL;13810;25918;49.77;705.11;733;22.08.2014;12;Guiana Space Center;Soyuz-ST;European Space Agency (ESA);Multinational
Galileo FOC FM20;;Commercial;Navigation/Global Positioning;MEO;23089;23149;56.3;831.2;715;25.07.2018;12;Guiana Space Center;Ariane 5 ES;European Space Agency (ESA);Multinational
Galileo FOC FM21;;Commercial;Navigation/Global Positioning;MEO;22973;22980;56.3;834.2;715;25.07.2018;12;Guiana Space Center;Ariane 5 ES;European Space Agency (ESA);Multinational
Galileo FOC FM22;;Commercial;Navigation/Global Positioning;MEO;23021;23047;56.3;836.6;715;25.07.2018;12;Guiana Space Center;Ariane 5 ES;European Space Agency (ESA);Multinational
Galileo FOC FM23;;Commercial;Navigation/Global Positioning;MEO;23380;23518;57.1;830.9;733;05.12.2021;12;Guiana Space Center;Soyuz-ST;European Space Agency (ESA);Multinational
Galileo FOC FM24;;Commercial;Navigation/Global Positioning;MEO;23515;23571;57;830.9;733;05.12.2021;12;Guiana Space Center;Soyuz-ST;European Space Agency (ESA);Multinational
Galileo FOC FM3;;Commercial;Navigation/Global Positioning;MEO;23516;23574;55;858.55;723;27.03.2015;12;Guiana Space Center;Soyuz-ST;European Space Agency (ESA);Multinational
Galileo FOC FM4;;Commercial;Navigation/Global Positioning;MEO;23353;23382;55.1;850.5;723;27.03.2015;12;Guiana Space Center;Soyuz-ST;European Space Agency (ESA);Multinational
Galileo FOC FM5;;Commercial;Navigation/Global Positioning;MEO;23218;23240;57.1;845;723;11.09.2015;12;Guiana Space Center;Soyuz-ST;European Space Agency (ESA);Multinational
Galileo FOC FM6;;Commercial;Navigation/Global Positioning;MEO;23220;23239;57.1;844;723;11.09.2015;12;Guiana Space Center;Soyuz-ST;European Space Agency (ESA);Multinational
Galileo FOC FM7;;Commercial;Navigation/Global Positioning;MEO;23265;23305;54.6;847;723;17.11.2016;12;Guiana Space Center;Ariane 5;European Space Agency (ESA);Multinational
Galileo FOC FM8;;Commercial;Navigation/Global Positioning;MEO;23550;23618;54.96;860.51;723;17.12.2015;12;Guiana Space Center;Soyuz-ST;European Space Agency (ESA);Multinational
Galileo FOC FM9;;Commercial;Navigation/Global Positioning;MEO;23551;23568;54.95;858.34;723;17.12.2015;12;Guiana Space Center;Soyuz-ST;European Space Agency (ESA);Multinational
Galileo IOV-1 FM2;;Commercial;Navigation/Global Positioning;MEO;23242;23307;54.67;846.98;700;21.10.2011;12;Guiana Space Center;Soyuz-Fregat;European Space Agency (ESA);Multinational
Galileo IOV-1 PFM;;Commercial;Navigation/Global Positioning;MEO;23240;23306;54.68;846.88;700;21.10.2011;12;Guiana Space Center;Soyuz-Fregat;European Space Agency (ESA);Multinational
Galileo IOV-2 FM3;;Commercial;Navigation/Global Positioning;MEO;23214;23233;55.34;844.76;700;12.10.2012;12;Guiana Space Center;Soyuz-Fregat;European Space Agency (ESA);Multinational
Galileo IOV-2 FM4;;Commercial;Navigation/Global Positioning;MEO;23217;23227;55.3;844.69;700;12.10.2012;12;Guiana Space Center;Soyuz-Fregat;European Space Agency (ESA);Multinational
Gaofen 1;China;Government;Earth Observation;LEO;630;654;98.07;97.56;1000;26.04.2013;8;Jiuquan Satellite Launch Center;Long March 2D;China National Academy of Sciences (CNSAS);China
Gaofen 10;;Government;Earth Observation;LEO;611;621;97.8;97.03;1000;04.10.2019;8;Taiyuan Launch Center;Long March 4C;China National Academy of Sciences (CNSAS);China
Gaofen 1-02;China;Government;Earth Observation;LEO;638;642;98;97.5;805;30.03.2018;8;Taiyuan Launch Center;Long March 4C;China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture;China
Gaofen 1-03;China;Government;Earth Observation;LEO;638;640;98;97.5;805;30.03.2018;8;Taiyuan Launch Center;Long March 4C;China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture;China
Gaofen 1-04;China;Government;Earth Observation;LEO;638;642;98;97.5;805;30.03.2018;8;Taiyuan Launch Center;Long March 4C;China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture;China
Gaofen 1-05;China;Government;Earth Observation;LEO;677;695;98;98.4;805;08.05.2018;8;Taiyuan Launch Center;Long March 4C;China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture;China
Gaofen 1-06;China;Government;Earth Observation;LEO;634;647;98;97.3;1064;03.06.2018;8;Jiuquan Satellite Launch Center;Long March 2D;China’s Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture;China
Gaofen 11;China;Government;Earth Observation;ELL;241;689;97.4;93.9;1000;31.07.2018;8;Taiyuan Launch Center;Long March 4B;China National Academy of Sciences (CNSAS);China
Gaofen 11-02;China;Government;Earth Observation;ELL;244;691;97.3;93.9;1000;07.09.2020;8;Taiyuan Launch Center;Long March 4B;China National Academy of Sciences (CNSAS);China
Gaofen 11-03;;Government;Earth Observation;ELL;243;695;97.4;93.9;3000;20.11.2021;8;Taiyuan Launch Center;Long March 4B;China National Academy of Sciences (CNSAS);China
Gaofen 12;;Government;Earth Observation;LEO;612;616;97.9;96.9;1000;28.11.2019;8;Taiyuan Launch Center;Long March 4C;China National Academy of Sciences (CNSAS);China
Gaofen 12-02;China;Government;Earth Observation;LEO;634;637;97.8;97.3;3000;30.03.2021;8;Jiuquan Satellite Launch Center;Long March 4C;China National Academy of Sciences (CNSAS);China
GaoFen 12-03 ;;Government;Earth Observation;LEO;594;599;97.9;96.9;3000;27.06.2022;8;Jiuquan Satellite Launch Center;Long March 4C;China National Academy of Sciences (CNSAS);China
Gaofen 13;China;Government;Earth Observation;GEO;35775;35799;1.98;1436.13;1000;11.10.2020;8;Xichang Satellite Launch Center;Long March 3B;China National Academy of Sciences (CNSAS);China
Gaofen 14;China;Government;Earth Observation;LEO;485;495;97.4;94.4;1000;06.12.2020;8;Xichang Satellite Launch Center;Long March 3B;China National Academy of Sciences (CNSAS);China
Gaofen 2;China;Government;Earth Observation;LEO;620;636;98.02;97.06;1000;19.08.2014;8;Taiyuan Launch Center;Long March 4B;China National Academy of Sciences (CNSAS);China
Gaofen 3;China;Government;Earth Observation;LEO;757;759;98.4;99.8;1000;09.08.2016;8;Taiyuan Launch Center;Long March 4C;State Oceanic Administration (SOA);China
Gaofen 3-02;;Government;Earth Observation;LEO;737;745;98.4;99.8;2500;22.11.2021;8;Taiyuan Launch Center;Long March 4B;China's Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture;China
Gaofen 3-03;;Government;Earth Observation;LEO;739;746;98.4;99.8;2500;06.04.2022;8;Jiuquan Satellite Launch Center;Long March 4C;China's Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture;China
Gaofen 4;China;Government;Earth Observation;GEO;35792;35796;0.6;1436.1;4600;28.12.2015;8;Xichang Satellite Launch Center;Long March 3B;China National Academy of Sciences (CNSAS);China
Gaofen 5-02;;Government;Earth Observation;LEO;688;695;98.3;98.4;4200;06.09.2021;8;Taiyuan Launch Center;Long March 4C;China National Academy of Sciences (CNSAS);China
Gaofen 7;;Government;Earth Observation;LEO;487;505;97.5;94.5;9;03.11.2019;;Taiyuan Launch Center;Long March 4B;Ministry of Natural Resources/Ministry of Housing and Urban-Rural Development/National Bureau of Statistics;China
Gaofen 8;China;Military;Earth Observation;LEO;484;492;97.3;94.36;1000;26.06.2015;8;Taiyuan Launch Center;Long March 4B;People's Liberation Army (C41);China
Gaofen 9;China;Government;Earth Observation;LEO;618;664;98.01;97.54;1000;14.09.2015;8;Jiuquan Satellite Launch Center;Long March 2D;China National Academy of Sciences (CNSAS);China
Gaofen 9-02;China;Government;Earth Observation;LEO;487;502;97.2;94.5;1000;31.05.2020;8;Jiuquan Satellite Launch Center;Long March 2D;China National Academy of Sciences (CNSAS);China
Gaofen 9-03;;Government;Earth Observation;LEO;485;504;97.3;94.5;1000;17.06.2020;8;Jiuquan Satellite Launch Center;Long March 2D;China National Academy of Sciences (CNSAS);China
Gaofen 9-04;;Government;Earth Observation;LEO;485;505;97.5;94.5;1000;06.08.2020;8;Jiuquan Satellite Launch Center;Long March 2D;China National Academy of Sciences (CNSAS);China
Gaofen 9-05;;Government;Earth Observation;LEO;483;505;97.5;94.5;1000;23.08.2020;8;Jiuquan Satellite Launch Center;Long March 2D;China National Academy of Sciences (CNSAS);China
Gaofen Multi-Mode 1;;Government;Earth Observation;LEO;631;649;98;97.5;;03.07.2020;;Taiyuan Launch Center;Long March 4B;China's Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture;China
Cosmos 2513;Russia;Military;Communications;GEO;35783;35805;0;1436.1;5000;10.12.2015;;Baikonur Cosmodrome;Proton M;Ministry of Defense;Russia
GATOSS;;Commercial;Technology Development;LEO;593;819;97.7;98.9;5;21.11.2013;;Dombarovsky Air Base;Dnepr;GomSpace ApS;Denmark
GCOM-C;Japan;Government;Earth Observation;LEO;790;793;98.7;100.69;2200;22.12.2017;5;Tanegashima Space Center;H2A;Japan Aerospace Exploration Agency (JAXA);Japan
GEARRS-3;;Military/Commercial;Communications;LEO;496;505;45;95;4;13.01.2022;;Virgin Orbit;LauncherOne;Air Force Research Laboratory/Globalstar;USA
GEARRSAT-2;;Government;Technology Development;LEO;356;700;55;95;10;20.05.2015;;Cape Canaveral;Atlas 5;NearSpace Launch/Air Force Research Laboratory;USA
GECAM-A;;Government;Space Science;LEO;588;605;29;96.6;150;09.12.2020;;Xichang Satellite Launch Center;Long March 11;Chinese Academy of Sciences;China
GECAM-B;;Government;Space Science;LEO;587;604;29;96.6;150;09.12.2020;;Xichang Satellite Launch Center;Long March 11;Chinese Academy of Sciences;China
GeeSat 5-01 ;;Commercial;Earth Observation/Navigation;LEO;612;625;50;96.9;100;02.06.2022;5;Xichang Satellite Launch Center;Long March 2;Geespace;China
GeeSat 5-02;;Commercial;Earth Observation/Navigation;LEO;615;622;50;96.9;100;02.06.2022;5;Xichang Satellite Launch Center;Long March 2;Geespace;China
GeeSat 5-03;;Commercial;Earth Observation/Navigation;LEO;613;624;50;96.9;100;02.06.2022;5;Xichang Satellite Launch Center;Long March 2;Geespace;China
GeeSat 5-04;;Commercial;Earth Observation/Navigation;LEO;615;621;50;96.9;100;02.06.2022;5;Xichang Satellite Launch Center;Long March 2;Geespace;China
GeeSat 5-05;;Commercial;Earth Observation/Navigation;LEO;614;623;50;96.9;100;02.06.2022;5;Xichang Satellite Launch Center;Long March 2;Geespace;China
GeeSat 5-06;;Commercial;Earth Observation/Navigation;LEO;614;623;50;96.9;100;02.06.2022;5;Xichang Satellite Launch Center;Long March 2;Geespace;China
GeeSat 5-07;;Commercial;Earth Observation/Navigation;LEO;613;624;50;96.9;100;02.06.2022;5;Xichang Satellite Launch Center;Long March 2;Geespace;China
GeeSat 5-08;;Commercial;Earth Observation/Navigation;LEO;614;624;50;96.9;100;02.06.2022;5;Xichang Satellite Launch Center;Long March 2;Geespace;China
GeeSat 5-09;;Commercial;Earth Observation/Navigation;LEO;612;626;50;96.9;100;02.06.2022;5;Xichang Satellite Launch Center;Long March 2;Geespace;China
Genesis-1;USA;Commercial;Technology Development;LEO;522;569;64.5;95.6;1360;12.07.2006;5;Dombarovsky Air Base;Dnepr;Bigelow Aerospace;USA
Genesis-2;USA;Commercial;Technology Development;LEO;508;586;64.5;95.6;1360;28.06.2007;5;Dombarovsky Air Base;Dnepr;Bigelow Aerospace;USA
Cosmos 2517;Russia;Military;Earth Science;LEO;935;963;99.27;104.03;900;05.06.2016;5;Plesetsk Cosmodrome;Rokot;Ministry of Defense;Russia
Cosmos 2540;Russia;Military;Earth Science;LEO;945;958;99.3;103.9;900;30.08.2019;5;Plesetsk Cosmodrome;Rokot;Ministry of Defense;Russia
GeoEye-1;USA;Government/Commercial;Earth Observation;LEO;671;686;98.1;98.3;1955;06.09.2008;7;Vandenberg AFB;Delta 2;DigitalGlobe Corporation;USA
GEO-Kompsat-2A;;Government;Earth Observation;GEO;35783;35787;0.05;1436.04;3507;04.12.2018;10;Guiana Space Center;Ariane 5;Korea Meteorological Administration/National Meteorological Satellite Center;South Korea
GEO-Kompsat-2B;South Korea;Government;Earth Observation;GEO;35782;35792;0.04;1436.13;3379;18.02.2020;10;Guiana Space Center;Ariane 5;Korea Meteorological Administration/National Meteorological Satellite Center;South Korea
Geomagnetic Tail Laboratory (Geotail);Japan;Government;Space Science;ELL;49551;191451;9.39;2474.83;980;24.07.1992;;Cape Canaveral;Delta 2;Institute of Space and Astronautical Science (ISAS)/NASA/ESA;Multinational
Ghalib;United Arab Emirates;Government;Earth Observation;LEO;520;533;97.5;95.1;3;30.06.2021;;Cape Canaveral;Falcon 9;Marshall Intec;United Arab Emirates
GHGSat-C1;Canada;Commercial;Earth Science;LEO;515;518;97.5;94.5;15;02.09.2020;;Guiana Space Center;Vega;GHGSat, Inc.;Canada
GHGSat-C2;Canada;Commercial;Earth Science;LEO;528;535;97.5;95.2;15;24.01.2021;;Cape Canaveral;Falcon 9;GHGSat, Inc.;Canada
GHGSat-D;Canada;Commercial;Earth Science;LEO;500;512;97.5;94.7;15;22.06.2016;;Satish Dhawan Space Centre;PSLV XL;GHGSat, Inc.;Canada
GCOM-1;Japan;Government;Earth Observation;LEO;701;704;98.2;98.8;1900;17.05.2012;5;Tanegashima Space Center;H2A;Japan Aerospace Exploration Agency (JAXA);Multinational
Globalstar FM15;;Commercial;Communications;LEO;1111;1125;51.9;113;715;19.06.2022;15;Cape Canaveral;Falcon 9;Globalstar;USA
